class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type
2nd Year,77.2,87.4,83.0,64.5,76.5,74.8,75.3,58.8,Achievable target,66.6,Pass,True,None
4th Year,80.3,75.7,79.8,98.8,84.7,79.5,87.1,58.5,Achievable target,99.1,Pass,True,None
1st Year,93.3,91.8,82.3,87.6,98.1,74.4,80.1,70.3,Achievable target,91.5,Pass,True,None
1st Year,77.7,61.9,85.4,80.9,86.5,87.9,80.6,65.8,Achievable target,69.3,Pass,True,None
4th Year,65.4,67.6,92.6,87.8,67.5,86.1,71.8,50.6,Achievable target,74.4,Pass,True,None
4th Year,61.2,82.2,71.2,66.1,95.9,87.8,86.3,65.8,Achievable target,68.8,Pass,True,None
2nd Year,75.4,73.6,92.6,83.6,91.4,81.0,89.5,60.4,Achievable target,91.6,Pass,True,None
4th Year,74.1,86.4,69.9,85.9,83.7,76.9,77.1,71.8,Achievable target,73.6,Pass,True,None
3rd Year,85.3,68.0,85.0,71.6,73.8,84.2,88.7,66.1,Achievable target,99.4,Pass,True,None
3rd Year,72.0,92.8,67.0,98.1,94.2,77.9,71.0,63.3,Achievable target,83.5,Pass,True,None
2nd Year,66.8,74.7,86.0,61.5,95.1,84.7,81.8,56.1,Achievable target,79.6,Pass,True,None
3rd Year,84.1,75.5,93.6,92.5,99.4,89.4,77.5,53.0,Achievable target,70.4,Pass,True,None
3rd Year,68.1,85.4,70.6,79.5,96.2,82.1,84.4,70.3,Achievable target,73.0,Pass,True,None
3rd Year,90.0,66.6,96.3,92.5,60.8,89.9,79.8,55.4,Achievable target,99.3,Pass,True,None
3rd Year,69.9,73.5,67.7,68.3,61.1,69.5,74.0,77.0,Borderline,64.0,Fail,True,None
2nd Year,66.5,68.6,76.0,73.5,82.0,78.9,84.0,66.7,Achievable target,90.2,Pass,True,None
1st Year,87.1,65.3,89.0,78.4,88.5,86.4,88.8,62.5,Achievable target,62.7,Pass,True,None
1st Year,62.5,60.3,70.4,62.4,63.9,65.1,60.9,98.7,Cannot pass,98.8,Pass,False,Underperformance
3rd Year,75.2,75.4,88.5,69.0,86.0,71.4,67.3,78.5,Borderline,84.4,Pass,True,None
3rd Year,80.1,64.6,86.5,67.2,67.3,75.1,71.6,59.4,Achievable target,62.8,Pass,True,None
1st Year,66.1,72.1,71.2,85.2,78.7,75.2,65.4,75.4,Borderline,50.7,Fail,True,None
2nd Year,79.0,91.3,64.1,89.2,84.4,83.3,78.6,54.5,Achievable target,53.8,Fail,False,Overperformance
4th Year,73.2,71.5,78.5,75.5,70.5,64.5,65.7,91.4,Cannot pass,63.4,Fail,True,None
3rd Year,72.6,74.8,68.7,75.2,74.0,71.4,70.9,97.4,Cannot pass,84.2,Fail,True,None
1st Year,60.4,76.5,75.3,72.9,60.9,67.2,64.5,92.6,Cannot pass,53.6,Fail,True,None
3rd Year,67.9,67.0,95.4,88.8,73.6,70.9,70.6,63.3,Achievable target,69.9,Pass,True,None
4th Year,86.9,99.4,63.9,76.1,73.6,79.3,84.6,70.7,Achievable target,78.0,Pass,True,None
1st Year,81.9,95.0,66.7,77.9,64.6,76.0,83.5,65.9,Achievable target,53.8,Fail,False,Overperformance
3rd Year,89.7,84.2,96.4,89.6,86.4,75.5,75.1,58.9,Achievable target,66.1,Pass,True,None
3rd Year,77.2,72.5,75.6,90.6,82.8,87.7,73.3,61.8,Achievable target,83.0,Pass,True,None
1st Year,63.5,78.7,61.8,80.8,86.4,83.7,81.9,57.5,Achievable target,82.0,Pass,True,None
4th Year,95.9,72.3,91.6,69.1,74.9,79.2,81.3,56.9,Achievable target,93.3,Pass,True,None
2nd Year,86.6,73.2,72.6,93.9,88.8,77.3,71.4,57.2,Achievable target,70.4,Pass,True,None
4th Year,86.5,79.6,70.5,73.7,94.4,85.9,74.0,63.1,Achievable target,98.3,Pass,True,None
4th Year,91.7,60.8,75.3,94.2,90.4,85.2,86.4,72.1,Achievable target,88.7,Pass,True,None
1st Year,85.5,75.8,83.7,62.5,86.5,81.6,80.1,53.1,Achievable target,66.8,Pass,True,None
2nd Year,84.2,64.3,79.8,82.3,81.5,66.6,71.7,79.0,Borderline,67.8,Fail,True,None
2nd Year,61.5,99.6,97.2,77.1,84.7,74.6,72.6,52.2,Achievable target,50.1,Fail,False,Overperformance
1st Year,74.4,94.4,94.6,69.4,88.1,84.1,86.4,59.5,Achievable target,72.4,Pass,True,None
3rd Year,60.7,60.2,89.3,69.1,95.1,85.1,80.6,57.5,Achievable target,61.9,Pass,True,None
1st Year,66.0,66.1,76.4,62.5,70.0,64.4,64.4,100.0,Cannot pass,70.7,Fail,True,None
3rd Year,90.8,93.4,95.3,61.5,73.5,86.9,72.0,68.4,Achievable target,72.5,Pass,True,None
4th Year,93.6,71.1,91.1,79.4,69.6,79.0,85.0,60.6,Achievable target,88.7,Pass,True,None
4th Year,60.9,89.1,86.5,97.6,88.0,78.3,73.7,51.9,Achievable target,59.9,Pass,True,None
2nd Year,66.2,98.3,73.5,63.7,63.9,84.0,76.8,70.3,Achievable target,88.2,Pass,True,None
3rd Year,82.0,85.8,61.7,88.9,91.3,85.8,75.6,51.3,Achievable target,95.0,Pass,True,None
4th Year,63.5,78.2,67.0,66.6,71.8,71.8,70.5,99.5,Cannot pass,63.6,Fail,True,None
1st Year,78.6,76.3,81.4,98.6,68.3,73.1,73.3,57.4,Achievable target,68.7,Pass,True,None
3rd Year,66.1,76.5,87.5,94.4,63.5,84.4,82.6,52.4,Achievable target,88.2,Pass,True,None
1st Year,88.4,69.8,67.5,77.1,74.2,72.8,74.5,76.3,Borderline,59.7,Fail,True,None
4th Year,78.9,93.9,89.1,88.2,80.7,80.0,82.2,63.5,Achievable target,99.9,Pass,True,None
2nd Year,68.3,62.1,64.5,66.0,93.8,79.3,82.5,71.9,Achievable target,85.9,Pass,True,None
