class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label,attendance_rate
3rd Year,51.6,73.7,73.8,72.0,87.6,68.9,67.1,84.5,Achievable target,99.9,Pass,True,,High,55.8
2nd Year,50.0,78.0,91.7,60.2,69.0,60.2,57.4,95.2,Achievable target,94.1,Pass,True,,High,55.6
4th Year,64.6,62.9,69.6,90.1,94.9,77.6,86.7,62.6,Achievable target,67.9,Fail,True,,High,56.1
3rd Year,69.5,95.7,73.8,93.9,72.3,64.6,70.4,76.6,Achievable target,68.8,Fail,True,,High,62.6
1st Year,74.9,77.7,100.0,83.4,65.1,65.8,89.8,57.6,Achievable target,60.6,Fail,True,,Low,83.4
4th Year,84.7,69.2,67.7,84.0,73.8,74.7,83.1,66.5,Achievable target,65.2,Fail,True,,Low,76.5
3rd Year,76.7,73.6,77.3,78.4,50.7,66.6,63.3,88.5,Achievable target,89.5,Pass,True,,Low,85.7
3rd Year,81.2,61.9,56.5,72.7,74.4,66.1,70.3,82.5,Achievable target,80.0,Pass,True,,High,54.9
1st Year,65.3,83.1,57.7,68.6,66.6,68.6,72.3,81.1,Achievable target,83.2,Pass,True,,High,55.3
2nd Year,72.9,76.7,61.6,81.9,74.1,76.6,86.1,64.7,Achievable target,75.0,Pass,True,,Low,84.6
2nd Year,51.3,50.5,73.3,70.8,72.2,85.3,75.4,80.3,Achievable target,84.1,Pass,True,,Medium,72.6
4th Year,73.1,76.0,84.5,60.4,59.7,74.5,72.8,79.3,Achievable target,65.7,Fail,True,,Low,89.8
3rd Year,60.6,76.8,88.0,68.4,50.0,76.7,69.1,84.0,Achievable target,81.5,Pass,True,,Medium,75.6
3rd Year,53.5,63.7,66.9,68.6,73.9,66.5,70.6,84.2,Achievable target,74.0,Fail,True,,High,57.9
2nd Year,69.8,85.7,65.5,63.3,79.0,61.3,83.9,67.3,Achievable target,74.7,Fail,True,,Low,80.3
1st Year,55.4,78.0,74.6,71.7,92.0,75.2,71.1,79.2,Achievable target,89.2,Pass,True,,High,48.9
2nd Year,66.1,97.5,70.8,58.5,74.2,70.2,67.2,83.6,Achievable target,91.2,Pass,True,,High,59.0
1st Year,60.8,64.6,78.0,79.9,66.1,54.0,65.6,87.0,Achievable target,84.1,Pass,True,,High,67.5
3rd Year,85.0,86.9,90.2,79.6,89.4,65.2,65.7,78.7,Achievable target,86.2,Pass,True,,High,57.3
3rd Year,51.4,69.7,63.3,74.8,66.7,67.7,57.4,97.5,Achievable target,97.8,Pass,True,,High,56.1
3rd Year,71.5,95.4,71.4,78.2,70.7,63.3,63.7,85.1,Achievable target,78.7,Pass,True,,High,61.3
2nd Year,74.3,73.5,78.6,87.0,92.7,83.6,85.8,61.1,Achievable target,73.5,Fail,True,,Low,76.7
4th Year,77.0,80.3,59.9,72.4,84.4,73.4,69.1,81.0,Achievable target,94.2,Pass,True,,High,54.5
4th Year,83.5,75.9,83.8,79.1,87.4,82.5,78.0,68.5,Achievable target,83.0,Pass,True,,Low,86.5
3rd Year,76.8,69.2,77.3,50.0,77.9,71.2,50.0,102.4,Cannot pass,72.7,Fail,True,,High,64.0
1st Year,50.0,53.2,78.7,79.0,59.8,69.3,76.7,78.7,Achievable target,95.5,Pass,True,,Medium,69.3
2nd Year,65.1,89.4,67.7,99.6,73.4,58.9,69.5,78.5,Achievable target,78.6,Pass,True,,High,60.0
1st Year,78.2,92.3,74.9,61.7,72.1,68.6,66.4,83.2,Achievable target,94.7,Pass,True,,High,59.0
1st Year,73.0,57.4,70.4,64.7,84.2,68.6,72.9,79.6,Achievable target,79.5,Pass,True,,High,63.3
3rd Year,73.8,70.1,72.2,76.0,80.6,54.6,66.2,84.0,Achievable target,86.8,Pass,True,,Low,78.4
3rd Year,61.7,61.2,86.3,68.6,56.8,63.0,50.3,103.7,Cannot pass,52.0,Fail,True,,High,61.5
4th Year,78.6,78.8,55.5,76.1,82.0,65.2,80.1,70.3,Achievable target,72.3,Fail,True,,Low,76.4
2nd Year,77.8,80.8,57.0,77.3,69.9,72.7,73.5,77.7,Achievable target,83.6,Pass,True,,High,40.0
2nd Year,67.8,83.6,90.7,94.4,88.8,73.2,68.0,77.0,Achievable target,77.9,Pass,True,,High,52.1
2nd Year,72.1,77.5,82.4,74.8,74.9,62.6,61.6,87.7,Achievable target,100.0,Pass,True,,High,49.7
1st Year,83.0,72.7,64.9,68.6,80.8,73.3,56.7,93.8,Achievable target,87.2,Pass,True,,High,64.0
1st Year,73.4,77.4,81.2,69.0,82.2,66.6,73.3,75.9,Achievable target,75.3,Pass,True,,High,62.3
2nd Year,77.8,59.0,90.3,67.5,54.0,50.0,86.9,65.7,Achievable target,61.7,Fail,True,,Medium,62.5
1st Year,61.2,61.5,74.0,70.2,69.5,63.6,73.1,80.8,Achievable target,80.2,Pass,True,,High,63.8
