class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label
3rd Year,74.5,59.8,56.9,72.0,79.1,58.3,65.9,91.5,Cannot pass,79.9,Fail,True,,High
3rd Year,85.2,85.7,67.1,88.4,87.6,82.8,65.1,61.6,Achievable target,70.4,Pass,True,,High
2nd Year,64.3,71.6,81.5,64.8,84.4,73.4,79.8,81.6,Borderline,92.1,Pass,True,,Low
1st Year,87.6,73.2,74.4,76.9,81.3,59.2,72.5,81.7,Borderline,100.0,Pass,True,,High
3rd Year,79.8,98.6,79.1,68.9,70.2,65.8,63.0,61.2,Achievable target,76.8,Pass,True,,Medium
1st Year,51.0,68.2,54.9,80.1,55.4,67.5,59.1,95.7,Cannot pass,100.0,Pass,False,Overperformance,Medium
3rd Year,57.4,79.0,66.0,74.2,77.2,78.0,56.3,91.4,Cannot pass,97.2,Pass,False,Overperformance,High
1st Year,76.2,89.8,89.7,74.4,78.1,82.8,85.0,77.9,Borderline,88.9,Pass,True,,Low
2nd Year,59.7,64.1,81.5,81.5,79.0,72.4,57.5,91.9,Cannot pass,100.0,Pass,False,Overperformance,High
4th Year,81.2,86.2,77.5,90.5,74.7,72.6,66.7,54.9,Achievable target,72.1,Pass,True,,High
1st Year,64.5,82.1,75.3,57.7,67.4,62.3,76.7,78.9,Borderline,81.1,Pass,True,,Medium
3rd Year,68.6,50.7,77.2,55.0,69.4,62.5,62.4,88.9,Cannot pass,72.6,Fail,True,,High
2nd Year,62.4,68.8,96.3,82.9,67.7,68.9,82.1,68.8,Achievable target,56.5,Fail,False,Underperformance,Medium
2nd Year,73.3,66.9,72.7,68.9,64.4,58.4,67.6,85.0,Borderline,83.6,Fail,False,Ambiguity,High
1st Year,70.6,69.5,74.9,75.9,72.8,52.9,63.3,95.2,Cannot pass,89.6,Fail,True,,High
4th Year,57.2,64.6,63.2,55.7,76.4,75.9,55.6,99.2,Cannot pass,97.8,Fail,True,,High
4th Year,80.5,50.4,74.4,81.0,79.0,77.2,65.4,88.9,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,77.3,70.8,75.9,62.1,81.4,59.3,78.9,86.9,Borderline,96.9,Pass,True,,Medium
4th Year,60.0,81.0,73.5,61.8,55.6,56.1,63.0,99.3,Cannot pass,84.4,Fail,True,,Medium
1st Year,77.5,62.1,77.3,57.7,69.8,75.9,57.2,96.3,Cannot pass,76.6,Fail,True,,High
1st Year,65.4,87.6,74.9,64.7,80.1,84.9,71.3,58.7,Achievable target,75.8,Pass,True,,High
3rd Year,94.0,79.0,98.2,86.7,66.4,88.7,77.2,53.7,Achievable target,57.6,Pass,True,,Low
4th Year,63.8,72.9,67.3,78.8,77.7,78.1,71.1,50.8,Achievable target,50.0,Fail,False,Underperformance,High
1st Year,78.5,60.6,57.5,65.2,72.1,68.8,81.3,80.3,Borderline,91.4,Pass,True,,Medium
4th Year,57.7,74.0,68.4,70.9,60.3,80.5,85.3,75.3,Borderline,87.7,Pass,True,,Low
1st Year,66.4,83.0,77.9,87.7,89.4,58.3,70.3,82.7,Borderline,78.9,Fail,False,Ambiguity,High
2nd Year,81.6,50.5,64.5,77.0,60.4,63.4,77.4,93.7,Cannot pass,90.2,Fail,True,,Medium
1st Year,80.3,58.5,66.1,52.9,63.6,76.0,64.1,99.7,Cannot pass,93.7,Fail,True,,High
4th Year,77.5,64.3,58.9,77.4,62.5,64.9,77.3,90.2,Cannot pass,83.5,Fail,True,,Medium
2nd Year,69.9,63.6,79.4,63.0,79.3,64.9,67.7,79.9,Borderline,94.5,Pass,True,,High
4th Year,68.9,85.1,75.9,64.1,86.7,67.3,58.2,81.9,Borderline,85.3,Pass,True,,High
1st Year,73.9,54.2,75.8,80.0,69.4,69.9,70.0,99.9,Cannot pass,92.4,Fail,True,,Medium
4th Year,81.7,82.3,68.8,85.3,62.5,89.9,70.7,51.0,Achievable target,54.1,Pass,True,,High
3rd Year,66.0,58.1,66.2,63.4,69.5,68.6,67.2,79.6,Borderline,82.3,Pass,True,,High
3rd Year,63.7,82.0,89.7,87.6,73.6,73.0,66.4,85.8,Borderline,100.0,Pass,True,,High
3rd Year,78.7,63.9,74.5,75.8,59.9,76.0,52.6,99.9,Cannot pass,100.0,Pass,False,Overperformance,High
3rd Year,86.9,63.3,91.3,92.4,84.9,87.8,65.8,57.2,Achievable target,66.0,Pass,True,,High
1st Year,64.3,58.5,62.6,63.6,78.1,57.6,75.0,93.1,Cannot pass,85.9,Fail,True,,Medium
3rd Year,77.9,71.8,81.1,67.8,75.4,79.4,75.0,71.4,Achievable target,77.3,Pass,True,,Low
2nd Year,82.9,88.9,84.7,61.7,74.4,62.1,81.5,83.2,Borderline,77.2,Fail,False,Ambiguity,High
1st Year,53.7,68.0,73.1,51.9,69.1,72.8,51.9,94.1,Cannot pass,100.0,Pass,False,Overperformance,High
1st Year,60.9,87.9,86.5,63.1,67.7,74.6,78.5,81.2,Borderline,77.2,Fail,False,Ambiguity,High
3rd Year,100.0,79.3,95.2,80.3,97.0,65.5,66.3,74.2,Achievable target,93.2,Pass,True,,High
4th Year,75.5,79.2,77.8,69.2,96.1,70.3,83.5,51.7,Achievable target,53.5,Pass,True,,Low
1st Year,74.9,86.9,65.6,98.1,90.4,88.4,67.0,58.3,Achievable target,50.3,Fail,False,Underperformance,High
3rd Year,66.8,59.0,69.2,65.4,69.7,62.9,64.9,83.8,Borderline,92.2,Pass,True,,High
2nd Year,82.3,91.3,76.4,84.3,98.7,78.1,89.4,70.6,Achievable target,72.8,Pass,True,,Low
